lead_id,patient_key,created_at,source_channel,campaign_id,inquiry_type,department,owner_id,first_response_at,status
L-20260705-001,P-0001,2026-07-05 09:12,네이버검색,NAVER-ACCIDENT-01,전화문의,교통사고,STAFF-01,2026-07-05 09:18,예약완료
L-20260705-002,P-0002,2026-07-05 10:04,카페(청라맘스),CAFE-DIET-01,온라인문의,다이어트,STAFF-02,2026-07-05 10:15,예약완료
L-20260706-001,P-0003,2026-07-06 11:30,구글검색,GOOGLE-IMMUNE-01,전화문의,암면역,STAFF-01,2026-07-06 11:36,예약완료
L-20260706-002,P-0004,2026-07-06 14:20,기타,META-GROWTH-01,온라인문의,성장,STAFF-03,2026-07-06 14:55,미예약
L-20260707-001,P-0005,2026-07-07 09:42,네이버검색,NAVER-REHAB-01,전화문의,수술후재활,STAFF-01,2026-07-07 09:50,예약완료
L-20260707-002,P-0006,2026-07-07 13:10,소개/추천,,전화문의,교통사고,STAFF-02,2026-07-07 13:18,예약완료
L-20260708-001,P-0007,2026-07-08 15:05,네이버검색,NAVER-ACCIDENT-01,전화문의,교통사고,STAFF-01,2026-07-08 15:11,예약완료
L-20260709-001,P-0008,2026-07-09 10:22,카페(검단맘블리),CAFE-GROWTH-01,온라인문의,성장,STAFF-03,2026-07-09 10:40,예약완료
L-20260710-001,P-0009,2026-07-10 16:30,네이버검색,PLACE-LOCAL-01,전화문의,기타,STAFF-02,2026-07-10 16:36,종료
L-20260711-001,P-0010,2026-07-11 09:24,네이버검색,NAVER-ACCIDENT-01,전화문의,교통사고,STAFF-01,2026-07-11 09:31,예약완료
